secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1822,85,112,11.8683,30.9096,0,185,32.2,-5.44800824,36.21181659,0,2.77427,-255,0,-255,0,0,0,0,0,0,0,0
1823,75,112,11.8772,31.7808,0,159,32,-5.44792081,36.21178097,0,2.35644,-255,0,-255,0,0,0,0,0,0,0,0
1824,75,112,11.8861,33.012,0,187,31.6,-5.44783104,36.21174551,0,1.50523,-255,0,-255,0,0,0,0,0,0,0,0
1825,78,112,11.8955,33.6276,0,202,31,-5.44773624,36.21171098,0,0.863492,-255,0,-255,0,0,0,0,0,0,0,0
1826,79,112,11.9048,33.21,0,196,30.6,-5.44763759,36.21168466,0,0.201072,-255,0,-255,0,0,0,0,0,0,0,0
1827,79,112,11.9142,33.174,0,188,30.2,-5.44753558,36.21166723,0,-0.71842,-255,0,-255,0,0,0,0,0,0,0,0
1828,79,112,11.9238,34.4088,0,194,30,-5.44742947,36.21165440,0,-0.925897,-255,0,-255,0,0,0,0,0,0,0,0
1829,80,113,11.9335,34.4016,0,203,29.6,-5.44732310,36.21164250,0,-1.59281,-255,0,-255,0,0,0,0,0,0,0,0
1830,82,113,11.9433,34.9704,0,195,29.2,-5.44721405,36.21163353,0,-2.25104,-255,0,-255,0,0,0,0,0,0,0,0
1831,82,113,11.9532,35.4276,0,182,29.2,-5.44710458,36.21162934,0,-2.73355,-255,0,-255,0,0,0,0,0,0,0,0
1832,84,113,11.9634,36.27,0,177,28.8,-5.44699151,36.21162523,0,-3.58999,-255,0,-255,0,0,0,0,0,0,0,0
1833,87,114,11.9737,37.4544,0,155,28.4,-5.44687844,36.21164208,0,-3.74985,-255,0,-255,0,0,0,0,0,0,0,0
1834,91,114,11.985,39.9708,0,152,27.6,-5.44676755,36.21168927,0,-4.01501,-255,0,-255,0,0,0,0,0,0,0,0
1835,95,114,11.9959,39.1104,0,179,27,-5.44668876,36.21176496,0,-3.9197,-255,0,-255,0,0,0,0,0,0,0,0
1836,96,115,12.0072,40.104,0,192,26.6,-5.44663880,36.21185850,0,-3.84515,-255,0,-255,0,0,0,0,0,0,0,0
1837,92,116,12.0184,40.0392,0,202,26.4,-5.44659505,36.21195247,0,-3.59779,-255,0,-255,0,0,0,0,0,0,0,0
1838,88,116,12.0294,39.4992,0,206,26,-5.44654727,36.21204408,0,-3.75263,-255,0,-255,0,0,0,0,0,0,0,0
1839,88,117,12.0405,39.5352,0,220,25.8,-5.44649740,36.21213486,0,-3.51989,-255,0,-255,0,0,0,0,0,0,0,0
1840,86,117,12.0511,38.2716,0,206,25.8,-5.44644711,36.21222203,0,-3.11419,-255,0,-255,0,0,0,0,0,0,0,0
1841,86,117,12.0614,36.7848,0,204,26.4,-5.44639992,36.21230627,0,-2.52944,-255,0,-255,0,0,0,0,0,0,0,0
1842,81,118,12.0713,35.9028,0,205,26.8,-5.44635750,36.21238883,0,-1.73366,-255,0,-255,0,0,0,0,0,0,0,0
1843,86,118,12.0806,33.5592,0,216,27.2,-5.44631040,36.21246309,0,-0.915287,-255,0,-255,0,0,0,0,0,0,0,0
1844,91,118,12.0892,31.4892,0,231,27.8,-5.44626698,36.21253266,0,0.489432,-255,0,-255,0,0,0,0,0,0,0,0
1845,102,118,12.0976,29.9916,0,221,28.6,-5.44622440,36.21259930,0,1.99623,-255,0,-255,0,0,0,0,0,0,0,0
1846,111,118,12.1055,28.5552,0,196,29.2,-5.44618391,36.21266258,0,3.10844,-255,0,-255,0,0,0,0,0,0,0,0
1847,93,118,12.1132,27.8208,0,188,29.6,-5.44614720,36.21272528,0,3.80743,-255,0,-255,0,0,0,0,0,0,0,0
1848,75,118,12.1207,27.1908,0,178,29.8,-5.44611577,36.21278814,0,4.43572,-255,0,-255,0,0,0,0,0,0,0,0
1849,76,118,12.1285,27.846,0,193,30,-5.44608434,36.21285343,0,4.87411,-255,0,-255,0,0,0,0,0,0,0,0
1850,75,119,12.1364,28.3788,0,202,30.2,-5.44605668,36.21292124,0,5.12664,-255,0,-255,0,0,0,0,0,0,0,0
1851,76,119,12.1443,28.5696,0,200,30.2,-5.44602843,36.21298906,0,4.54189,-255,0,-255,0,0,0,0,0,0,0,0
1852,78,119,12.1522,28.3716,0,195,30,-5.44599834,36.21305586,0,3.88559,-255,0,-255,0,0,0,0,0,0,0,0
1853,77,119,12.1601,28.1664,0,192,29.8,-5.44596699,36.21312166,0,3.19864,-255,0,-255,0,0,0,0,0,0,0,0
1854,77,119,12.1676,27.612,0,198,29.8,-5.44593221,36.21318385,0,2.50503,-255,0,-255,0,0,0,0,0,0,0,0
1855,76,119,12.1754,28.0404,0,223,30,-5.44588870,36.21324462,0,1.80139,-255,0,-255,0,0,0,0,0,0,0,0
1856,76,119,12.1834,28.6812,0,221,30.2,-5.44584059,36.21330488,0,1.29413,-255,0,-255,0,0,0,0,0,0,0,0
1857,77,119,12.1917,29.592,0,204,30.2,-5.44579265,36.21336875,0,0.774668,-255,0,-255,0,0,0,0,0,0,0,0
1858,80,119,12.2002,30.5172,0,207,30,-5.44573900,36.21343187,0,0.2734,-255,0,-255,0,0,0,0,0,0,0,0
